Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-24,Obiad,Kaktus,"1x porcja",48,61.9968,0,,,1.5984,1.392,,,,,11.5008,8.64,,0.1008,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-25,Śniadanie,"Jajko L","7x sztuka",476,665.0196,59.5,,,46.2196,13.9944,,,,,2.856,0,,,,,,,,,,,,,,,,,,,,,,,,761.6,,,2.0944
2025-04-25,"II śniadanie","Müller Müllermilch Protein Napój mleczny o smaku czekoladowym 400 g","1x opakowanie",400,248,26,,,6.8,4.4,,,,,20.4,20,,0,,,,0.92,1.4,,1.12,,80,,,,,,,,,,,,,,,,0.56
2025-04-25,Obiad,"Poledwiczki wieprzowe","300x g",300,327,63,,,6.6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,Obiad,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-25,Kolacja,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","2x opakowanie",280,498.4,40.6,,,36.4,11.2,,,0,0,2.24,1.4,,,,,,,,,,,,,,,,,,,,,,,,1904,,,4.76
2025-04-26,Śniadanie,"Jajko 0","120x g",120,165.6,15.6,,,11.388,,,,,,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-26,Śniadanie,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-04-26,"II śniadanie","Kleik ryżowy Bobovita","25x g",25,97,1.95,,,0.3,0.1,,,,0,21.375,0,,0.45,,,,0.2,,,,,,,,,,,,,,,,,,3,,,0.0075
2025-04-26,"II śniadanie","Mleko spożywcze 0.5 % tłuszczu","150x ml",150,58.5,5.25,0,5.1,0.75,0.48,0.18,0.015,0,0.015,7.65,7.65,3,0,,7.5,22.5,0.06,0.255,,0.075,,0.6,1.5,0,0.015,0.15,0.15,0.6,145.5,5.1,18,0.015,211.5,,67.8,181.5,0.15,0.165
